Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Material_Footprint_Per_Capita,Continent,Hemisphere,Waste_Per_Capita_kg,Economic_Loss_Per_Capita_USD,Carbon_Footprint_kgCO2e,Carbon_Per_Capita_kgCO2e,Years_From_2018,Is_Pandemic_Year,Is_Post_Pandemic,Year_Trend,Country_Trend,Year_Cycle,Year_Cycle_Cos,Population_Material_Interaction,Year_Population_Interaction,GDP_Per_Capita_Proxy,Waste_Efficiency,Economic_Intensity,Waste_Trend,Economic_Trend,Category_Waste_Share,Category_Economic_Share,Sustainability_Score,Country_Encoded,Food Category_Encoded,Continent_Encoded,Hemisphere_Encoded,ISO_Code
Australia,2018,Fruits & Vegetables,795.69,664.48,102.64,641.08,45.26,47.7,Oceania,Southern Hemisphere,102.64,1.3580268354685952,1989225.0000000002,0.003364653069297164,0,0,0,0,15.0,1267.9467949888406,0.3090169943749612,30579.516000000003,0.0,1036.5009047232793,1.2411711486865913,0.8350990963817567,30793.780000000002,32849.333333333336,0.0014152322919479669,0.0011682832683244859,71.66578198248789,1,4,4,1,AUS
Turkey,2019,Frozen Food,31775.63,26989.29,135.5,946.01,45.83,17.49,Europe,Northern Hemisphere,135.5,28.52960328114925,79439075.0,0.08397276455851418,1,0,0,1,55.5,1268.5751135195585,0.8090169943749413,16545.7149,946.01,28529.603281149248,33.589105823405674,0.849370728448185,35870.33333333335,33803.55666666668,0.03480492693487131,0.028591089491860473,37.43109833229388,17,3,3,0,TUR
France,2018,Fruits & Vegetables,6399.99,5880.84,155.86,303.67,66.32,17.61,Europe,Northern Hemisphere,155.86,19.365890604932986,15999974.999999998,0.05268869167188065,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,5347.6287,0.0,19365.890604932985,21.075476668752263,0.9188826857541965,24581.083333333325,27104.823333333337,0.0070698966423682775,0.006774929241190852,42.314260545987416,5,4,3,0,FRA
Spain,2024,Meat & Seafood,3335.93,2697.39,173.1,1281.32,47.84,17.549999999999997,Europe,Unknown,173.1,2.105164986108076,8339824.999999999,0.0065087761058908,6,0,1,6,255.5,1271.7167061731484,-0.8090169943750019,22487.165999999994,7687.92,2105.164986108076,2.60351044235632,0.8085871106408108,24658.53999999999,24180.193333333325,0.003383713241893935,0.0026636679372773883,58.0305996940655,16,6,3,2,ESP
Mexico,2021,Meat & Seafood,32269.61,32056.0,140.15,713.9,30.39,10.85,America,Northern Hemisphere,140.15,44.90264742961199,80674025.0,0.11300465751505813,3,1,0,3,110.0,1269.8317505809944,0.8090169943749828,7745.815,2141.7,44902.647429611985,45.20186300602325,0.9933804591998477,36784.83999999999,35150.52000000001,0.035845272339664086,0.03519738181372276,25.84638721576318,11,6,1,0,MEX
Canada,2023,Prepared Food,40958.23,45227.94,100.92,1256.74,43.82,17.549999999999997,America,Unknown,100.92,35.98830306984738,102395575.00000001,0.08147713528653501,5,0,1,5,200.0,1271.0883876424302,-0.30901699437484287,22055.786999999997,6283.7,35988.30306984738,32.590854114614004,1.104245471545035,39528.77999999999,39682.390000000014,0.04770318790794919,0.05246630655330535,41.208144580422356,3,7,1,2,CAN
Australia,2018,Beverages,31405.75,33856.31,194.86,1232.83,64.67,47.7,Oceania,Southern Hemisphere,194.86,27.46226973710893,78514375.0,0.06368629494739746,0,0,0,0,15.0,1267.9467949888406,0.3090169943749612,58805.991,0.0,27462.26973710893,25.474517978958982,1.0780290233476353,26653.140000000003,28950.44333333334,0.05585897969415835,0.0595258856552597,35.58212000032446,1,1,4,1,AUS
Argentina,2018,Grains & Cereals,22509.21,23765.56,158.37,751.04,67.66,16.88,America,Southern Hemisphere,158.37,31.643534299105244,56273024.99999999,0.07492680150191733,0,0,0,0,16.0,1267.9467949888406,0.3090169943749612,12677.555199999999,0.0,31643.534299105246,29.97072060076694,1.0558149308660767,16789.66666666667,18473.503333333338,0.03222007469851666,0.03406041663886888,31.771741185556028,0,5,1,1,ARG
Canada,2024,Bakery Items,15633.24,15697.13,139.15,1330.71,33.3,17.549999999999997,America,Unknown,139.15,11.796056240653485,39083100.0,0.02937011069278806,6,0,1,6,236.0,1271.7167061731484,-0.8090169943750019,23353.960499999997,7984.26,11796.056240653485,11.748044277115223,1.00408680478263,29076.603333333333,32004.993333333343,0.015883006793866335,0.016174964826157354,52.28408451127593,3,0,1,2,CAN
Japan,2021,Dairy Products,47920.72,53947.82,158.76,50.5,48.32,18.18,Asia,Northern Hemisphere,158.76,1044.4250991749661,119801800.0,2.3723128712871286,3,1,0,3,135.5,1269.8317505809944,0.8090169943749828,918.09,151.5,1068273.6633663366,948.9251485148515,1.1257723172773697,31003.573333333345,30825.403333333332,0.05634266293222636,0.06509086279440296,0.0,10,2,2,0,JPN
Australia,2018,Meat & Seafood,19895.96,19570.19,112.61,1041.59,40.12,47.7,Oceania,Southern Hemisphere,112.61,18.78876525312263,49739899.99999999,0.047753818681054924,0,0,0,0,15.0,1267.9467949888406,0.3090169943749612,49683.843,0.0,18788.76525312263,19.10152747242197,0.9836263241381668,17365.800000000003,18030.32666666667,0.03538740598889652,0.03440814702463756,53.0138636059614,1,6,4,1,AUS
Canada,2019,Beverages,5947.99,5770.54,123.6,360.17,30.83,35.05,America,Northern Hemisphere,123.6,16.02171196934781,14869974.999999998,0.04128598994919065,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,12623.958499999999,360.17,16021.711969347809,16.514395979676262,0.9701663923443046,20846.486666666664,22231.87000000001,0.005160083532419372,0.004959366990286788,52.54655662603771,3,1,1,0,CAN
Germany,2024,Prepared Food,34319.79,34261.08,197.79,732.93,50.48,17.549999999999997,Europe,Unknown,197.79,46.74536449592731,85799475.0,0.117063669108919,6,0,1,6,268.5,1271.7167061731484,-0.8090169943750019,12862.921499999997,4397.58,46745.364495927315,46.825467643567606,0.9982893251969199,23221.526666666676,24262.146666666667,0.03878429652647546,0.03852472495916997,22.976179853464863,6,7,3,2,DEU
UK,2022,Prepared Food,1364.29,1239.2,178.83,1203.27,36.29,17.549999999999997,Europe,Unknown,178.83,1.3580268354685952,3410725.0,0.003364653069297164,4,1,0,4,145.0,1270.4600691117123,0.30901699437502833,21117.388499999997,4813.08,1029.8602973563707,1.1338186774373167,0.9083112827917819,19359.53000000002,21259.126666666667,0.001209256153902963,0.0011005175834015732,59.05753197536712,18,7,3,2,GBR
Italy,2021,Beverages,4771.68,5399.86,124.81,490.67,55.14,11.85,Europe,Northern Hemisphere,124.81,11.005074693786046,11929200.0,0.024312063097397436,3,1,0,3,111.5,1269.8317505809944,0.8090169943749828,5814.4395,1472.01,11005.074693786046,9.724825238958974,1.131647553901351,24334.349999999995,22108.349999999995,0.005469549000513304,0.006216206415636696,57.00480352714995,9,1,3,0,ITA
Indonesia,2020,Beverages,11831.38,9645.14,171.29,932.96,62.23,6.77,Asia,Southern Hemisphere,171.29,10.33821385697136,29578449.999999996,0.03170387797976333,2,1,0,2,79.5,1269.2034320502764,1.0,6316.1392,1865.92,10338.213856971359,12.681551191905331,0.8152168217063437,17998.056666666664,16848.56333333332,0.010969937874464826,0.00898926883280638,50.34410692848568,8,1,2,1,IDN
Italy,2020,Bakery Items,20053.87,20908.91,146.93,1028.94,65.32,11.85,Europe,Northern Hemisphere,146.93,20.320825315373103,50134674.99999999,0.048724585495752905,2,1,0,2,76.0,1269.2034320502764,1.0,12192.939,2057.88,20320.825315373102,19.489834198301164,1.0426371568181105,21285.593333333334,21275.269999999993,0.029759293332254584,0.03167222173783195,42.65457255039167,9,0,3,0,ITA
Australia,2020,Dairy Products,24922.81,22753.0,24.48,367.27,33.67,46.82,Oceania,Southern Hemisphere,24.48,61.95169766112125,62307025.0,0.16964910011708006,2,1,0,2,75.0,1269.2034320502764,1.0,17195.5814,734.54,61951.69766112125,67.85964004683204,0.9129387898074093,25408.173333333336,25393.16666666667,0.033401217808866894,0.03121544545674029,53.29305399297519,1,2,4,1,AUS
UK,2019,Prepared Food,24926.49,23777.4,75.55,23.06,44.6,17.549999999999997,Europe,Unknown,75.55,1031.1101474414572,62316225.00000001,2.4956666746742995,1,0,0,1,44.5,1268.5751135195585,0.8090169943749413,404.7029999999999,23.06,1031110.1474414573,1080.9405897658285,0.953900850059515,19147.37000000002,19011.626666666667,0.03697920353084962,0.03683399872857688,19.853333333333335,18,7,3,2,GBR
Australia,2024,Fruits & Vegetables,48288.75,47935.55,125.12,216.45,32.38,17.549999999999997,Oceania,Unknown,125.12,221.4624624624625,120721875.0,0.5577356202356203,6,0,1,6,212.0,1271.7167061731484,-0.8090169943750019,3798.6974999999993,1298.6999999999998,221462.46246246248,223.09424809424812,0.9926856669514121,31035.84,30086.246666666673,0.05619377306139731,0.05667630525239371,6.634666666666665,1,4,4,2,AUS
India,2018,Dairy Products,49713.02,49858.42,188.8,699.59,42.76,5.11,Asia,Northern Hemisphere,188.8,71.2680570048171,124282549.99999999,0.17765055246644462,0,0,0,0,24.5,1267.9467949888406,0.3090169943749612,3574.9049000000005,0.0,71268.05700481709,71.06022098657785,1.0029247871080855,20063.273333333356,20396.27,0.041491822421882034,0.04110294213482767,19.340966852013324,7,2,2,0,IND
Saudi Arabia,2023,Bakery Items,36776.95,41808.37,185.28,1335.68,36.07,17.549999999999997,Asia,Unknown,185.28,31.30118741015812,91942375.0,0.06883563054024916,5,0,1,5,181.5,1271.0883876424302,-0.30901699437484287,23441.183999999997,6678.400000000001,31301.18741015812,27.53425221609966,1.136809061110288,22416.256666666668,24498.726666666673,0.040794092356943486,0.045656036592910856,32.39397160996646,13,0,2,2,SAU
Italy,2020,Dairy Products,10943.72,8850.35,151.32,911.76,63.96,11.85,Europe,Northern Hemisphere,151.32,9.706885583925596,27359300.0,0.03000712906905326,2,1,0,2,76.0,1269.2034320502764,1.0,10804.356,1823.52,9706.885583925596,12.002851627621304,0.8087149525024399,11923.089999999998,11719.706666666665,0.016240125902185522,0.013406258272546058,50.9194080679126,9,2,3,0,ITA
Indonesia,2023,Frozen Food,13011.74,14987.95,45.55,17.03,69.2,17.549999999999997,Asia,Unknown,45.55,880.0910158543746,32529350.0,1.9101203758073988,5,0,1,5,190.0,1271.0883876424302,-0.30901699437484287,298.87649999999996,85.15,880091.0158543746,764.0481503229594,1.1518789954302808,13929.259999999997,14540.809999999989,0.012664174393253772,0.014733371484779633,27.853333333333335,8,3,2,2,IDN
Italy,2018,Fruits & Vegetables,36987.3,40094.57,162.67,585.44,30.42,12.33,Europe,Northern Hemisphere,162.67,68.48621549603716,92468250.0,0.15794658718229024,0,0,0,0,16.5,1267.9467949888406,0.3090169943749612,7218.475200000001,0.0,68486.21549603716,63.1786348729161,1.0840091058282166,22661.63,23284.609999999997,0.04310164154428968,0.04646925276385205,20.523204769062584,9,4,3,0,ITA
Turkey,2018,Prepared Food,20497.05,19769.05,155.32,52.89,43.14,17.43,Europe,Northern Hemisphere,155.32,373.77670637171485,51242625.0,0.9688528077141236,0,0,0,0,20.0,1267.9467949888406,0.3090169943749612,921.8727,0.0,373776.7063717148,387.5411230856494,0.9644826938510663,28410.716666666685,28761.933333333338,0.01845855094631835,0.01796639156348589,0.0,17,7,3,0,TUR
France,2021,Meat & Seafood,48643.3,45212.72,52.73,705.29,69.48,17.1,Europe,Northern Hemisphere,52.73,64.10514823689546,121608250.0,0.17242304583930015,3,1,0,3,114.5,1269.8317505809944,0.8090169943749828,12060.459,2115.87,64105.14823689546,68.96921833572007,0.9294747683648107,29698.18333333333,30203.683333333338,0.04710412696056053,0.044740663939217155,45.593283916308664,5,6,3,0,FRA
Germany,2020,Bakery Items,27535.43,24000.35,47.86,1077.77,63.83,19.4,Europe,Northern Hemisphere,47.86,22.268526680089444,68838575.0,0.06387130371043914,2,1,0,2,106.0,1269.2034320502764,1.0,20908.737999999998,2155.54,22268.526680089442,25.54852148417566,0.871617040300442,28461.96000000001,27739.42666666667,0.027398291414104582,0.024010450235996274,66.70366010063991,6,0,3,0,DEU
South Africa,2020,Dairy Products,41431.6,41127.44,158.86,822.12,36.87,7.55,Africa,Southern Hemisphere,158.86,50.02607891791953,103579000.0,0.12599012309638496,2,1,0,2,85.0,1269.2034320502764,1.0,6207.006,1644.24,50026.07891791953,50.39604923855398,0.9926587435677117,28405.72,29084.233333333337,0.05570896405309162,0.055479988088529344,22.4405926142169,14,2,0,1,ZAF
India,2021,Beverages,20351.56,17289.67,55.24,221.61,48.73,5.23,Asia,Northern Hemisphere,55.24,78.01845584585531,50878900.0,0.22958756373809847,3,1,0,3,145.0,1269.8317505809944,0.8090169943749828,1159.0203000000001,664.83,78018.45584585531,91.83502549523938,0.8495501081980937,25910.17666666669,25120.16,0.031029982270811978,0.026495717549830943,41.494079509047424,7,1,2,0,IND
Brazil,2024,Bakery Items,10227.92,9614.77,52.35,108.07,61.37,17.549999999999997,America,Unknown,52.35,88.96798371425929,25569800.0,0.23660405292865735,6,0,1,6,241.0,1271.7167061731484,-0.8090169943750019,1896.6284999999996,648.42,88967.98371425929,94.64162117146294,0.9400513496390274,21074.906666666666,23729.406666666677,0.01083462945420445,0.01035902324453425,41.84375682428056,2,0,1,2,BRA
Italy,2021,Fruits & Vegetables,30808.24,33062.57,196.29,687.61,41.73,11.85,Europe,Northern Hemisphere,196.29,48.08331757827838,77020600.0,0.11201204170969009,3,1,0,3,111.5,1269.8317505809944,0.8090169943749828,8148.1785,2062.83,48083.31757827838,44.804816683876034,1.0731729563259698,26246.420000000002,27335.829999999998,0.03531401483326082,0.038060942274695524,23.279277497418594,9,4,3,0,ITA
Japan,2019,Fruits & Vegetables,3967.86,3362.37,84.92,725.91,46.56,18.18,Asia,Northern Hemisphere,84.92,4.631937843534322,9919650.0,0.01366512377567467,1,0,0,1,55.0,1268.5751135195585,0.8090169943749413,13197.0438,725.91,4631.937843534322,5.466049510269869,0.8474013700080143,21562.913333333345,22769.596666666665,0.003827726474443449,0.0031155017246462875,73.06080585747544,10,4,2,0,JPN
Argentina,2019,Bakery Items,6650.92,7579.11,162.65,1084.11,57.93,15.81,America,Southern Hemisphere,162.65,6.991089465091181,16627300.0,0.015337281272195627,1,0,0,1,54.5,1268.5751135195585,0.8090169943749413,17139.7791,1084.11,6991.089465091181,6.134912508878251,1.139558136317983,15286.170000000004,16968.340000000004,0.00594864727108852,0.006748558254540971,53.83644602484987,0,0,1,1,ARG
Japan,2023,Bakery Items,28724.78,29908.47,135.86,1383.32,48.97,17.549999999999997,Asia,Unknown,135.86,21.620789116039674,71811950.0,0.051912753375936156,5,0,1,5,195.0,1271.0883876424302,-0.30901699437484287,24277.265999999996,6916.599999999999,21620.789116039676,20.76510135037446,1.0412079744387948,26871.12000000001,29072.88666666667,0.036087830600352824,0.03918690776394852,44.44030962708074,10,0,2,2,JPN
Italy,2024,Fruits & Vegetables,39363.88,38203.95,55.09,322.55,63.49,17.549999999999997,Europe,Unknown,55.09,118.44349713222755,98409700.0,0.305099054410169,6,0,1,6,234.0,1271.7167061731484,-0.8090169943750019,5660.7525,1935.3000000000002,118443.49713222755,122.03962176406758,0.9705331385015908,35719.806666666664,37120.363333333335,0.03664579982825278,0.036654219144660716,37.0033900687232,9,4,3,2,ITA
India,2020,Dairy Products,19867.48,20452.85,33.93,679.12,61.67,5.23,Asia,Northern Hemisphere,33.93,30.11669513488043,49668700.0,0.07313685357521499,2,1,0,2,107.5,1269.2034320502764,1.0,3551.7976000000003,1358.24,30116.69513488043,29.254741430085993,1.0294637266528015,29977.35333333336,29200.313333333335,0.018105245572671794,0.01844031629255772,63.976267434326786,7,2,2,0,IND
Russia,2024,Bakery Items,19933.91,22347.45,165.12,1115.19,52.42,17.549999999999997,Europe,Unknown,165.12,20.039141312242755,49834775.0,0.04468725060303625,6,0,1,6,219.0,1271.7167061731484,-0.8090169943750019,19571.584499999997,6691.14,20039.141312242755,17.8749002412145,1.121077099274553,16904.863333333327,17599.249999999996,0.023406153955841055,0.02648918130697765,42.28940897963576,12,0,3,2,RUS
Argentina,2020,Meat & Seafood,43793.47,47572.31,116.1,634.57,62.41,15.81,America,Southern Hemisphere,116.1,74.96778921159209,109483675.0,0.17253206896008322,2,1,0,2,94.5,1269.2034320502764,1.0,10032.551700000002,1269.14,74967.78921159208,69.01282758403327,1.0862877502056814,24317.86666666667,26305.660000000003,0.041910597834533575,0.043861810491844136,28.688075862395014,0,6,1,1,ARG
Russia,2021,Bakery Items,20784.19,19901.18,83.5,1211.05,66.9,17.549999999999997,Europe,Unknown,83.5,16.432996160356716,51960475.0,0.04290530944221956,3,1,0,3,109.0,1269.8317505809944,0.8090169943749828,21253.927499999994,3633.1499999999996,16432.996160356717,17.162123776887825,0.9575153036995909,16190.599999999997,16186.399999999994,0.025246685889555334,0.024603447468016487,62.834267646532616,12,0,3,2,RUS
Russia,2021,Bakery Items,20579.73,19232.59,60.09,1229.5,34.29,17.549999999999997,Europe,Unknown,60.09,15.64261081740545,51449325.0,0.041845729971533144,3,1,0,3,109.0,1269.8317505809944,0.8090169943749828,21577.724999999995,3688.5,15642.61081740545,16.738291988613256,0.9345404434363328,20432.609999999997,20493.739999999994,0.024998327045790986,0.02377688246319561,69.73329808865391,12,0,3,2,RUS
Indonesia,2020,Fruits & Vegetables,13334.55,11011.2,75.05,1066.31,64.66,6.77,Asia,Southern Hemisphere,75.05,10.32645290769101,33336375.0,0.03126330523018634,2,1,0,2,79.5,1269.2034320502764,1.0,7218.918699999999,2132.62,10326.45290769101,12.505322092074538,0.8257646489757811,12725.889999999998,11881.429999999988,0.012363662149634696,0.010262436519511135,70.36602867208724,8,4,2,1,IDN
USA,2018,Fruits & Vegetables,43788.58,44877.77,199.83,1323.68,53.74,17.549999999999997,America,Unknown,198.10090000000002,33.90379094645231,109471450.00000001,0.08270235253233411,0,0,0,0,19.5,1267.9467949888406,0.3090169943749612,23230.584,0.0,33903.79094645231,33.08094101293364,1.0248738369684516,23303.446666666656,23556.286666666652,0.04126801000861331,0.043018615150657226,29.610015638220723,19,4,1,2,USA
Germany,2023,Beverages,24881.93,22405.35,81.53,452.31,30.87,17.549999999999997,Europe,Unknown,81.53,49.53538502354579,62204825.0,0.13752697265150007,5,0,1,5,229.0,1271.0883876424302,-0.30901699437484287,7938.040499999999,2261.55,49535.385023545794,55.01078906060003,0.9004667242452655,28912.383333333342,26888.926666666666,0.024658744443801485,0.02224147106017852,40.00704830757667,6,1,3,2,DEU
Turkey,2020,Frozen Food,48461.19,45557.47,178.87,1371.75,49.54,17.49,Europe,Northern Hemisphere,178.87,33.21120466557317,121152975.0,0.08832001093493712,2,1,0,2,91.0,1269.2034320502764,1.0,23991.907499999998,2743.5,33211.20466557317,35.32800437397485,0.9400815374116896,33577.95666666669,30771.936666666676,0.042845328537179185,0.041661257916318646,29.792395844723895,17,3,3,0,TUR
Germany,2020,Prepared Food,4543.43,5199.23,155.38,679.69,68.0,19.4,Europe,Northern Hemisphere,155.38,7.6494137033059175,11358575.0,0.016711405199429152,2,1,0,2,106.0,1269.2034320502764,1.0,13185.986,1359.38,7649.413703305918,6.68456207977166,1.1443402891647938,18986.93000000001,17201.643333333337,0.004520801714721186,0.005201418028507872,53.26025541055481,6,7,3,0,DEU
Indonesia,2019,Bakery Items,7065.82,7319.01,154.68,23.43,63.8,6.77,Asia,Southern Hemisphere,154.68,312.3777208706786,17664550.0,0.7539287238583013,1,0,0,1,45.5,1268.5751135195585,0.8090169943749413,158.62109999999998,23.43,312377.7208706786,301.5714895433205,1.0358330667919649,11137.369999999997,11106.053333333322,0.012156133181762596,0.012599167743392816,0.0,8,0,2,1,IDN
UK,2020,Fruits & Vegetables,48896.07,42855.11,75.11,483.41,52.11,17.549999999999997,Europe,Unknown,75.11,88.65168283651559,122240175.0,0.2528705963881591,2,1,0,2,74.5,1269.2034320502764,1.0,8483.8455,966.82,88651.6828365156,101.14823855526365,0.8764530564521852,25062.283333333355,22623.903333333335,0.06222824735097303,0.056213084966446836,34.798430883377115,18,4,3,2,GBR
Germany,2021,Bakery Items,4246.78,3554.71,40.91,1117.56,52.29,19.4,Europe,Northern Hemisphere,40.91,3.180777765847024,10616949.999999998,0.009500116324850566,3,1,0,3,151.0,1269.8317505809944,0.8090169943749828,21680.663999999997,3352.68,3180.777765847024,3.800046529940227,0.8370365312071735,11224.046666666678,10386.430000000002,0.003928114463804023,0.0034025582778476463,86.13507636279036,6,0,3,0,DEU
Saudi Arabia,2024,Meat & Seafood,23485.33,26696.48,111.9,627.04,65.84,17.549999999999997,Asia,Unknown,111.9,42.5754018882368,58713325.00000001,0.09363569309772903,6,0,1,6,219.5,1271.7167061731484,-0.8090169943750019,11004.551999999998,3762.24,42575.4018882368,37.45427723909161,1.136730035302889,23156.296666666673,25338.040000000008,0.023148613736875472,0.025885150845292637,34.541858414136264,13,6,2,2,SAU
China,2018,Dairy Products,21886.53,21929.06,54.64,981.93,69.96,21.34,Asia,Northern Hemisphere,54.64,22.33261026753435,54716325.0,0.05572324401943112,0,0,0,0,22.5,1267.9467949888406,0.3090169943749612,20954.386199999997,0.0,22332.61026753435,22.289297607772447,1.0019432043361831,12764.57333333334,13194.470000000001,0.018953684278894555,0.01932023359472037,65.3364809915167,4,2,2,0,CHN
Spain,2023,Prepared Food,13772.37,12965.94,199.4,1243.65,39.87,17.549999999999997,Europe,Unknown,198.10090000000002,10.425714630322036,34430925.0,0.027685381739235314,5,0,1,5,216.0,1271.0883876424302,-0.30901699437484287,21826.0575,6218.25,10425.714630322036,11.074152695694126,0.9414458078021429,19111.123333333326,16351.676666666657,0.013563242834603386,0.012700484257424198,50.51959112290436,16,7,3,2,ESP
Australia,2022,Dairy Products,4506.02,4669.49,48.83,810.54,44.16,17.549999999999997,Oceania,Unknown,48.83,5.760961827917191,11265050.000000002,0.013898203666691344,4,1,0,4,144.0,1270.4600691117123,0.30901699437502833,14224.976999999997,3242.16,5760.961827917191,5.559281466676538,1.0362781345844003,25905.860000000004,25119.346666666675,0.005630472270571957,0.005964578591752506,81.82405307572729,1,2,4,2,AUS
Turkey,2024,Grains & Cereals,26605.16,28734.29,194.42,998.99,44.43,17.549999999999997,Europe,Unknown,194.42,28.76334097438413,66512899.99999999,0.06658014594740687,6,0,1,6,235.5,1271.7167061731484,-0.8090169943750019,17532.274499999996,5993.9400000000005,28763.34097438413,26.632058378962753,1.0800269571767283,31854.466666666678,31353.603333333343,0.025268132641997076,0.027704412807358334,34.43268551236749,17,5,3,2,TUR
Germany,2019,Beverages,17980.73,16578.14,135.54,172.14,31.51,19.4,Europe,Northern Hemisphere,135.54,96.30614616010224,44951825.0,0.2611352678052748,1,0,0,1,63.0,1268.5751135195585,0.8090169943749413,3339.5159999999996,172.14,96306.14616010225,104.45410712210992,0.9219948244592961,8923.646666666678,8444.026666666668,0.017288107224679754,0.01571826552556954,18.187883931683512,6,1,3,0,DEU
South Africa,2019,Meat & Seafood,37791.64,36116.12,180.14,847.39,68.12,7.55,Africa,Southern Hemisphere,180.14,42.62042270973224,94479100.0,0.11149423523997215,1,0,0,1,50.5,1268.5751135195585,0.8090169943749413,6397.7945,847.39,42620.42270973224,44.59769409598886,0.9556642686054377,30978.7,30999.380000000005,0.040199821139301574,0.038421409977656806,23.31034588560167,14,6,0,1,ZAF
China,2021,Grains & Cereals,32634.06,30546.05,122.05,1083.2,56.54,21.96,Asia,Northern Hemisphere,122.05,28.19982459379616,81585150.00000001,0.07531863921713443,3,1,0,3,144.0,1269.8317505809944,0.8090169943749828,23787.072,3249.6000000000004,28199.82459379616,30.127455686853768,0.9360174615110715,19595.730000000007,19106.106666666667,0.03092291630631533,0.028287450665237867,41.784346534958146,4,5,2,0,CHN
Argentina,2019,Beverages,9291.4,7800.49,158.26,201.86,60.01,15.81,America,Southern Hemisphere,158.26,38.64306945407708,23228500.0,0.11507232735559299,1,0,0,1,54.5,1268.5751135195585,0.8090169943749413,3191.4066000000003,201.86,38643.06945407708,46.02893094223719,0.8395387132186753,19911.930000000004,20983.970000000005,0.008310318159681949,0.006945678473984979,24.113358268106612,0,1,1,1,ARG
Italy,2023,Dairy Products,2591.28,2539.45,184.37,894.26,63.12,17.549999999999997,Europe,Unknown,184.37,2.8397222284346832,6478200.000000001,0.007244201909959073,5,0,1,5,189.5,1271.0883876424302,-0.30901699437484287,15694.262999999997,4471.3,2839.722228434683,2.897680763983629,0.9799983019974683,24254.466666666664,24601.989999999994,0.001927339835618577,0.0018545978895538517,57.435556214076435,9,2,3,2,ITA
Canada,2019,Meat & Seafood,44477.26,37883.6,115.17,481.86,40.48,35.05,America,Northern Hemisphere,115.17,78.6195160420039,111193150.00000001,0.23075820777819286,1,0,0,1,53.5,1268.5751135195585,0.8090169943749413,16889.193,481.86,78619.51604200389,92.30328311127714,0.8517521088304449,22019.496666666662,19783.756666666675,0.03858553509557596,0.0325582485024328,25.442507533308422,3,6,1,0,CAN
UK,2020,Beverages,47383.13,46675.03,87.78,292.83,69.49,17.549999999999997,Europe,Unknown,87.78,159.392924222245,118457825.0,0.4045276269507906,2,1,0,2,74.5,1269.2034320502764,1.0,5139.166499999998,585.66,159392.924222245,161.81105078031624,0.9850558627089431,40401.89666666669,37769.18,0.0603027837186774,0.06122367734446266,22.320342382952564,18,1,3,2,GBR
Germany,2024,Fruits & Vegetables,13107.39,14142.18,133.78,488.34,33.13,17.549999999999997,Europe,Unknown,133.78,28.95970020887087,32768475.0,0.0671017631158619,6,0,1,6,268.5,1271.7167061731484,-0.8090169943750019,8570.366999999998,2930.04,28959.700208870872,26.84070524634476,1.0789470672651078,11778.300000000012,11425.010000000002,0.014812471184939044,0.015902113851141715,38.579452389728466,6,4,3,2,DEU
Turkey,2021,Fruits & Vegetables,22876.31,18500.74,122.13,1210.89,31.2,17.49,Europe,Northern Hemisphere,122.13,15.278629768187036,57190775.0,0.04723036361684381,3,1,0,3,129.0,1269.8317505809944,0.8090169943749828,21178.4661,3632.67,15278.629768187036,18.892145446737523,0.8087292050160187,32647.553333333344,30930.833333333343,0.026315884529359273,0.022309354654531637,53.1392058568491,17,4,3,0,TUR
Australia,2024,Meat & Seafood,24658.77,21150.24,190.65,987.02,55.65,17.549999999999997,Oceania,Unknown,190.65,21.428380377297323,61646925.0,0.06245762497213836,6,0,1,6,212.0,1271.7167061731484,-0.8090169943750019,17322.200999999997,5922.12,21428.380377297322,24.983049988855342,0.857716747429008,25817.846666666668,24585.09333333334,0.02869548963999259,0.02500685729904815,40.181257218698704,1,6,4,2,AUS
South Africa,2021,Meat & Seafood,47795.17,51508.42,23.8,1384.94,44.59,7.55,Africa,Southern Hemisphere,23.8,37.191806143226415,119487924.99999999,0.08627660765087296,3,1,0,3,121.0,1269.8317505809944,0.8090169943749828,10456.297,4154.82,37191.806143226415,34.51064306034918,1.0776909047504173,42339.47,42917.32666666667,0.04495372378835472,0.0478439984044452,60.58288226686115,14,6,0,1,ZAF
South Africa,2022,Frozen Food,27412.14,24285.52,29.08,1032.17,37.87,17.549999999999997,Africa,Unknown,29.08,23.52860478409564,68530350.0,0.06639444083823401,4,1,0,4,155.5,1270.4600691117123,0.30901699437502833,18114.583499999997,4128.68,23528.60478409564,26.557776335293603,0.8859403169544589,37666.31666666666,37303.35333333333,0.03928800106116618,0.03547089707709707,70.61521329496756,14,3,0,2,ZAF
Turkey,2022,Bakery Items,11754.6,13589.36,38.41,1325.99,39.56,17.549999999999997,Europe,Unknown,38.41,10.248463412242929,29386500.0,0.022161931839606634,4,1,0,4,163.5,1270.4600691117123,0.30901699437502833,23271.124499999998,5303.96,10248.463412242929,8.864772735842653,1.1560886801762715,20412.02333333335,20274.796666666676,0.014210170802877793,0.01606286367137715,80.74126986377473,17,0,3,2,TUR
